INFO  - 2015-01-08 14:15:57.026; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-01-08 14:15:57.055; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/alan/Code/solrnutch/solr-4.10.3/example/contexts at interval 0
INFO  - 2015-01-08 14:15:57.061; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/alan/Code/solrnutch/solr-4.10.3/example/contexts/solr-jetty-context.xml
INFO  - 2015-01-08 14:15:57.133; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/alan/Code/solrnutch/solr-4.10.3/example/webapps/solr.war!/ to /Users/alan/Code/solrnutch/solr-4.10.3/example/solr-webapp/webapp
INFO  - 2015-01-08 14:15:59.510; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-01-08 14:15:59.630; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-01-08 14:15:59.662; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-01-08 14:15:59.668; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-01-08 14:15:59.669; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-01-08 14:15:59.890; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/solr.xml
INFO  - 2015-01-08 14:16:00.078; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/alan/Code/solrnutch/solr-4.10.3/example/solr
INFO  - 2015-01-08 14:16:00.087; org.apache.solr.core.CoreContainer; New CoreContainer 194161124
INFO  - 2015-01-08 14:16:00.087; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-01-08 14:16:00.105; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-01-08 14:16:00.106; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-01-08 14:16:00.113; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-01-08 14:16:00.117; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-01-08 14:16:00.118; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-01-08 14:16:00.119; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-01-08 14:16:00.120; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-01-08 14:16:00.121; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-01-08 14:16:00.125; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-01-08 14:16:00.408; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2015-01-08 14:16:00.411; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-01-08 14:16:00.413; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-01-08 14:16:00.414; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-01-08 14:16:00.474; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/alan/Code/solrnutch/solr-4.10.3/example/solr
INFO  - 2015-01-08 14:16:00.483; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/
INFO  - 2015-01-08 14:16:00.484; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-01-08 14:16:00.488; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/'
INFO  - 2015-01-08 14:16:00.595; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-01-08 14:16:00.613; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-01-08 14:16:00.613; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-01-08 14:16:00.614; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-01-08 14:16:00.615; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-01-08 14:16:00.616; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
